"","1","1","5200","66","inventonahora"
"1","2",2,4600,89,"inventonahora"
"2","3",3,5200,103,"inventonahora"
"3","4",4,4400,87,"inventonahora"
"4","5",5,5100,102,"inventonahora"
"5","6",6,6200,93,"inventonahora"
"6","7",7,4800,61,"inventonahora"
"7","8",8,4500,74,"inventonahora"
"8","9",9,3700,53,"inventonahora"
"9","10",10,3700,70,"inventonahora"
"10","11",11,6000,93,"inventonahora"
"11","12",12,5700,128,"inventonahora"
"12","13",13,4800,81,"inventonahora"
"13","14",14,3800,61,"inventonahora"
"14","15",15,3900,57,"inventonahora"
"15","16",16,9300,225,"inventonahora"
"16","17",17,7600,267,"inventonahora"
"17","18",18,6000,115,"inventonahora"
"18","19",19,5800,101,"inventonahora"
"19","20",20,5500,104,"inventonahora"
"20","21",21,5400,95,"inventonahora"
"21","22",22,5600,88,"inventonahora"
"22","23",23,5500,72,"inventonahora"
"23","24",24,6600,121,"inventonahora"
"24","25",25,8000,161,"inventonahora"
"25","26",26,6400,96,"inventonahora"
"26","27",27,6500,118,"inventonahora"
"27","28",28,5200,93,"inventonahora"
"28","29",29,5200,122,"inventonahora"
"29","30",30,5500,113,"inventonahora"
"30","31",31,5000,92,"inventonahora"
"31","32",32,5700,89,"inventonahora"
"32","33",33,5900,91,"inventonahora"
"33","34",34,5200,84,"inventonahora"
"34","35",35,4570,86,"inventonahora"
"35","36",36,7400,73,"inventonahora"
"36","37",37,6900,130,"inventonahora"
"37","38",38,5900,156,"inventonahora"
"38","39",39,5600,102,"inventonahora"
"39","40",40,6400,101,"inventonahora"
"40","41",41,9000,101,"inventonahora"
"41","42",42,6100,107,"inventonahora"
"42","43",43,5700,80,"inventonahora"
"43","44",44,6000,97,"inventonahora"
"44","45",45,6300,82,"inventonahora"
"45","46",46,7900,33,"inventonahora"
"46","47",47,10000,135,"inventonahora"
"47","48",48,7000,169,"inventonahora"
"48","49",49,8000,117,"inventonahora"
"49","50",50,7700,123,"inventonahora"
"50","51",51,7000,110,"inventonahora"
"51","52",52,6500,104,"inventonahora"
"52","53",53,21500,103,"inventonahora"
"53","54",54,31300,276,"inventonahora"
"54","55",55,10800,428,"inventonahora"
"55","56",56,11000,230,"inventonahora"
"56","57",57,9700,260,"inventonahora"
"57","58",58,9800,145,"inventonahora"
"58","59",59,11900,124,"inventonahora"
"59","60",60,22100,367,"inventonahora"
"60","61",61,27700,420,"inventonahora"
"61","62",62,30800,343,"inventonahora"
"62","63",63,37800,307,"inventonahora"
"63","64",64,49200,399,"inventonahora"
"64","65",65,44300,377,"inventonahora"
"65","66",66,45500,403,"inventonahora"
"66","67",67,46500,406,"inventonahora"
"67","68",68,27700,281,"inventonahora"
"68","69",69,19500,249,"inventonahora"
"69","70",70,20100,361,"inventonahora"
"70","71",71,18900,292,"inventonahora"
"71","72",72,14800,269,"inventonahora"
"72","73",73,14200,233,"inventonahora"
"73","74",74,15000,254,"inventonahora"
"74","75",75,15900,220,"inventonahora"
"75","76",76,16000,209,"inventonahora"
"76","77",77,20100,264,"inventonahora"
"77","78",78,21400,285,"inventonahora"
"78","79",79,17600,268,"inventonahora"
"79","80",80,18300,283,"inventonahora"
"80","81",81,18300,279,"inventonahora"
"81","82",82,17500,293,"inventonahora"
"82","83",83,16100,320,"inventonahora"
"83","84",84,13800,314,"inventonahora"
"84","85",85,12800,287,"inventonahora"
"85","86",86,12000,240,"inventonahora"
"86","87",87,11400,212,"inventonahora"
"87","88",88,14500,204,"inventonahora"
"88","89",89,14300,177,"inventonahora"
"89","90",90,10000,169,"inventonahora"
"90","91",91,11300,183,"inventonahora"
"91","92",92,12800,212,"inventonahora"
"92","93",93,11900,212,"inventonahora"
"93","94",94,10200,144,"inventonahora"
"94","95",95,10800,176,"inventonahora"
"95","96",96,9800,194,"inventonahora"
"96","97",97,9200,170,"inventonahora"
"97","98",98,11000,149,"inventonahora"
"98","99",99,10000,148,"inventonahora"
"99","100",100,17300,258,"inventonahora"
"100","101",101,15800,355,"inventonahora"
"101","102",102,14100,251,"inventonahora"
"102","103",103,13700,255,"inventonahora"
"103","104",104,17800,620,"inventonahora"
"104","105",105,12800,242,"inventonahora"
"105","106",106,14500,323,"inventonahora"
"106","107",107,13700,200,"inventonahora"
"107","108",108,12900,194,"inventonahora"
"108","109",109,12500,206,"inventonahora"
"109","110",110,10900,119,"inventonahora"
"110","111",111,10200,175,"inventonahora"
"111","112",112,10700,138,"inventonahora"
"112","113",113,9500,108,"inventonahora"
"113","114",114,9000,154,"inventonahora"
"114","115",115,13900,183,"inventonahora"
"115","116",116,12500,217,"inventonahora"
"116","117",117,10800,167,"inventonahora"
"117","118",118,8700,138,"inventonahora"
"118","119",119,8700,156,"inventonahora"
"119","120",120,8800,116,"inventonahora"
"120","121",121,9300,177,"inventonahora"
"121","122",122,16100,261,"inventonahora"
"122","123",123,20600,349,"inventonahora"
"123","124",124,12900,254,"inventonahora"
"124","125",125,11200,216,"inventonahora"
"125","126",126,21600,330,"inventonahora"
"126","127",127,15700,291,"inventonahora"
"127","128",128,13600,205,"inventonahora"
"128","129",129,17600,205,"inventonahora"
"129","130",130,26800,213,"inventonahora"
"130","131",131,21300,176,"inventonahora"
"131","132",132,11200,139,"inventonahora"
"132","133",133,12100,119,"inventonahora"
"133","134",134,11000,110,"inventonahora"
"134","135",135,10700,122,"inventonahora"
"135","136",136,13100,118,"inventonahora"
"136","137",137,30000,488,"inventonahora"
"137","138",138,27000,371,"inventonahora"
"138","139",139,23800,338,"inventonahora"
"139","140",140,22600,260,"inventonahora"
"140","141",141,20700,216,"inventonahora"
"141","142",142,19700,250,"inventonahora"
"142","143",143,16900,259,"inventonahora"
"143","144",144,18500,253,"inventonahora"
"144","145",145,17800,265,"inventonahora"
"145","146",146,18200,312,"inventonahora"
"146","147",147,20000,314,"inventonahora"
"147","148",148,21180,291,"inventonahora"
"148","149",149,21190,314,"inventonahora"
"149","150",150,23800,348,"inventonahora"
