"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality";labels
7.400000e+00;7.000000e-01;0.000000e+00;1.900000e+00;7.600000e-02;1.100000e+01;3.400000e+01;9.978000e-01;3.510000e+00;5.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.800000e+00;8.800000e-01;0.000000e+00;2.600000e+00;9.800000e-02;2.500000e+01;6.700000e+01;9.968000e-01;3.200000e+00;6.800000e-01;9.800000e+00;5.000000e+00;1.000000e+00
7.800000e+00;7.600000e-01;4.000000e-02;2.300000e+00;9.200000e-02;1.500000e+01;5.400000e+01;9.970000e-01;3.260000e+00;6.500000e-01;9.800000e+00;5.000000e+00;1.000000e+00
1.120000e+01;2.800000e-01;5.600000e-01;1.900000e+00;7.500000e-02;1.700000e+01;6.000000e+01;9.980000e-01;3.160000e+00;5.800000e-01;9.800000e+00;6.000000e+00;1.000000e+00
7.400000e+00;7.000000e-01;0.000000e+00;1.900000e+00;7.600000e-02;1.100000e+01;3.400000e+01;9.978000e-01;3.510000e+00;5.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.400000e+00;6.600000e-01;0.000000e+00;1.800000e+00;7.500000e-02;1.300000e+01;4.000000e+01;9.978000e-01;3.510000e+00;5.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.900000e+00;6.000000e-01;6.000000e-02;1.600000e+00;6.900000e-02;1.500000e+01;5.900000e+01;9.964000e-01;3.300000e+00;4.600000e-01;9.400000e+00;5.000000e+00;1.000000e+00
7.300000e+00;6.500000e-01;0.000000e+00;1.200000e+00;6.500000e-02;1.500000e+01;2.100000e+01;9.946000e-01;3.390000e+00;4.700000e-01;1.000000e+01;7.000000e+00;1.000000e+00
7.800000e+00;5.800000e-01;2.000000e-02;2.000000e+00;7.300000e-02;9.000000e+00;1.800000e+01;9.968000e-01;3.360000e+00;5.700000e-01;9.500000e+00;7.000000e+00;1.000000e+00
7.500000e+00;5.000000e-01;3.600000e-01;6.100000e+00;7.100000e-02;1.700000e+01;1.020000e+02;9.978000e-01;3.350000e+00;8.000000e-01;1.050000e+01;5.000000e+00;1.000000e+00
