 Nascidos vivos - Paraná
Nascim p/resid.mãe por Município
Período:2016
"Município";"Nascim_p/resid.mãe"
"410010 Abatiá";102
"410020 Adrianópolis";70
"410030 Agudos do Sul";113
"410040 Almirante Tamandaré";1811
"410045 Altamira do Paraná";54
"412862 Alto Paraíso";50
"410060 Alto Paraná";174
"410070 Alto Piquiri";142
"410050 Altônia";266
"410080 Alvorada do Sul";105
"410090 Amaporã";87
"410100 Ampére";256
"410105 Anahy";42
"410110 Andirá";259
"410115 Ângulo";42
"410120 Antonina";252
"410130 Antônio Olinto";91
"410140 Apucarana";1697
"410150 Arapongas";1563
"410160 Arapoti";359
"410165 Arapuã";62
"410170 Araruna";206
"410180 Araucária";2255
"410185 Ariranha do Ivaí";31
"410190 Assaí";206
"410200 Assis Chateaubriand";445
"410210 Astorga";328
"410220 Atalaia";43
"410230 Balsa Nova";191
"410240 Bandeirantes";432
"410250 Barbosa Ferraz";126
"410270 Barra do Jacaré";25
"410260 Barracão";146
"410275 Bela Vista da Caroba";26
"410280 Bela Vista do Paraíso";210
"410290 Bituruna";271
"410300 Boa Esperança";51
"410302 Boa Esperança do Iguaçu";27
"410304 Boa Ventura de São Roque";91
"410305 Boa Vista da Aparecida";101
"410310 Bocaiúva do Sul";181
"410315 Bom Jesus do Sul";42
"410320 Bom Sucesso";88
"410322 Bom Sucesso do Sul";35
"410330 Borrazópolis";103
"410335 Braganey";73
"410337 Brasilândia do Sul";44
"410340 Cafeara";20
"410345 Cafelândia";260
"410347 Cafezal do Sul";40
"410350 Califórnia";136
"410360 Cambará";287
"410370 Cambé";1256
"410380 Cambira";91
"410390 Campina da Lagoa";253
"410395 Campina do Simão";64
"410400 Campina Grande do Sul";786
"410405 Campo Bonito";58
"410410 Campo do Tenente";117
"410420 Campo Largo";1720
"410425 Campo Magro";431
"410430 Campo Mourão";1274
"410440 Cândido de Abreu";226
"410442 Candói";239
"410445 Cantagalo";204
"410450 Capanema";234
"410460 Capitão Leônidas Marques";200
"410465 Carambeí";362
"410470 Carlópolis";176
"410480 Cascavel";4705
"410490 Castro";1113
"410500 Catanduvas";114
"410510 Centenário do Sul";119
"410520 Cerro Azul";218
"410530 Céu Azul";144
"410540 Chopinzinho";275
"410550 Cianorte";1069
"410560 Cidade Gaúcha";171
"410570 Clevelândia";263
"410580 Colombo";3720
"410590 Colorado";293
"410600 Congonhinhas";120
"410610 Conselheiro Mairinck";31
"410620 Contenda";248
"410630 Corbélia";260
"410640 Cornélio Procópio";545
"410645 Coronel Domingos Soares";88
"410650 Coronel Vivida";352
"410655 Corumbataí do Sul";53
"410680 Cruz Machado";224
"410657 Cruzeiro do Iguaçu";35
"410660 Cruzeiro do Oeste";284
"410670 Cruzeiro do Sul";69
"410685 Cruzmaltina";41
"410690 Curitiba";23217
"410700 Curiúva";186
"410715 Diamante D'Oeste";64
"410710 Diamante do Norte";59
"410712 Diamante do Sul";47
"410720 Dois Vizinhos";631
"410725 Douradina";122
"410730 Doutor Camargo";65
"412863 Doutor Ulysses";66
"410740 Enéas Marques";67
"410750 Engenheiro Beltrão";171
"410753 Entre Rios do Oeste";68
"410752 Esperança Nova";26
"410754 Espigão Alto do Iguaçu";69
"410755 Farol";42
"410760 Faxinal";246
"410765 Fazenda Rio Grande";1969
"410770 Fênix";45
"410773 Fernandes Pinheiro";83
"410775 Figueira";90
"410785 Flor da Serra do Sul";60
"410780 Floraí";60
"410790 Floresta";80
"410800 Florestópolis";198
"410810 Flórida";28
"410820 Formosa do Oeste";81
"410830 Foz do Iguaçu";4198
"410845 Foz do Jordão";91
"410832 Francisco Alves";108
"410840 Francisco Beltrão";1301
"410850 General Carneiro";232
"410855 Godoy Moreira";22
"410860 Goioerê";373
"410865 Goioxim";106
"410870 Grandes Rios";85
"410880 Guaíra";469
"410890 Guairaçá";91
"410895 Guamiranga";111
"410900 Guapirama";56
"410910 Guaporema";21
"410920 Guaraci";31
"410930 Guaraniaçu";198
"410940 Guarapuava";2847
"410950 Guaraqueçaba";104
"410960 Guaratuba";519
"410965 Honório Serpa";78
"410970 Ibaiti";351
"410975 Ibema";99
"410980 Ibiporã";727
"410990 Icaraíma";121
"411000 Iguaraçu";63
"411005 Iguatu";28
"411007 Imbaú";222
"411010 Imbituva";503
"411020 Inácio Martins";139
"411030 Inajá";35
"411040 Indianópolis";66
"411050 Ipiranga";202
"411060 Iporã";203
"411065 Iracema do Oeste";23
"411070 Irati";853
"411080 Iretama";146
"411090 Itaguajé";57
"411095 Itaipulândia";142
"411100 Itambaracá";65
"411110 Itambé";66
"411120 Itapejara d'Oeste";153
"411125 Itaperuçu";498
"411130 Itaúna do Sul";48
"411140 Ivaí";185
"411150 Ivaiporã";372
"411155 Ivaté";122
"411160 Ivatuba";32
"411170 Jaboti";99
"411180 Jacarezinho";539
"411190 Jaguapitã";167
"411200 Jaguariaíva";581
"411210 Jandaia do Sul";266
"411220 Janiópolis";86
"411230 Japira";56
"411240 Japurá";102
"411250 Jardim Alegre";141
"411260 Jardim Olinda";18
"411270 Jataizinho";174
"411275 Jesuítas";101
"411280 Joaquim Távora";157
"411290 Jundiaí do Sul";42
"411295 Juranda";100
"411300 Jussara";86
"411310 Kaloré";47
"411320 Lapa";593
"411325 Laranjal";80
"411330 Laranjeiras do Sul";467
"411340 Leópolis";37
"411342 Lidianópolis";53
"411345 Lindoeste";78
"411350 Loanda";266
"411360 Lobato";52
"411370 Londrina";7012
"411373 Luiziana";105
"411375 Lunardelli";52
"411380 Lupionópolis";52
"411390 Mallet";156
"411400 Mamborê";163
"411410 Mandaguaçu";361
"411420 Mandaguari";468
"411430 Mandirituba";327
"411435 Manfrinópolis";42
"411440 Mangueirinha";253
"411450 Manoel Ribas";223
"411460 Marechal Cândido Rondon";683
"411470 Maria Helena";51
"411480 Marialva";543
"411490 Marilândia do Sul";124
"411500 Marilena";92
"411510 Mariluz";134
"411520 Maringá";4794
"411530 Mariópolis";77
"411535 Maripá";90
"411540 Marmeleiro";196
"411545 Marquinho";49
"411550 Marumbi";54
"411560 Matelândia";249
"411570 Matinhos";474
"411573 Mato Rico";38
"411575 Mauá da Serra";154
"411580 Medianeira";680
"411585 Mercedes";78
"411590 Mirador";25
"411600 Miraselva";27
"411605 Missal";129
"411610 Moreira Sales";137
"411620 Morretes";233
"411630 Munhoz de Melo";48
"411640 Nossa Senhora das Graças";61
"411650 Nova Aliança do Ivaí";25
"411660 Nova América da Colina";33
"411670 Nova Aurora";131
"411680 Nova Cantu";94
"411690 Nova Esperança";323
"411695 Nova Esperança do Sudoeste";69
"411700 Nova Fátima";87
"411705 Nova Laranjeiras";159
"411710 Nova Londrina";157
"411720 Nova Olímpia";76
"411725 Nova Prata do Iguaçu";119
"411721 Nova Santa Bárbara";55
"411722 Nova Santa Rosa";134
"411727 Nova Tebas";81
"411729 Novo Itacolomi";36
"411730 Ortigueira";372
"411740 Ourizona";44
"411745 Ouro Verde do Oeste";72
"411750 Paiçandu";625
"411760 Palmas";890
"411770 Palmeira";442
"411780 Palmital";192
"411790 Palotina";453
"411800 Paraíso do Norte";167
"411810 Paranacity";145
"411820 Paranaguá";2156
"411830 Paranapoema";38
"411840 Paranavaí";1269
"411845 Pato Bragado";64
"411850 Pato Branco";1300
"411860 Paula Freitas";76
"411870 Paulo Frontin";86
"411880 Peabiru";167
"411885 Perobal";87
"411890 Pérola";143
"411900 Pérola d'Oeste";66
"411910 Piên";163
"411915 Pinhais";2095
"411925 Pinhal de São Bento";31
"411920 Pinhalão";108
"411930 Pinhão";518
