Localidade;IPDM_EmpRenda;Renda_PC;IPDM_Saude;IDHM_Long;IDHM_Educ
Abatiá;0,3564;533,79;0,7732;0,804;0,596
Adrianópolis;0,5019;430,79;0,4251;0,817;0,563
Agudos do Sul;0,4074;516,96;0,51;0,79;0,543
Almirante Tamandaré;0,4151;629,58;0,6892;0,84;0,575
Altamira do Paraná;0,3339;504,11;0,6739;0,78;0,571
Alto Paraíso;0,4674;498,65;0,5209;0,829;0,556
Alto Paraná;0,3894;531,28;0,7405;0,846;0,587
Alto Piquiri;0,3697;507,82;0,7883;0,798;0,578
Altônia;0,4041;583,74;0,7903;0,848;0,641
Alvorada do Sul;0,3899;593,94;0,8045;0,826;0,617
Amaporã;0,3689;438,08;0,8226;0,785;0,591
Ampére;0,466;588,01;0,6702;0,824;0,62
Anahy;0,3588;505,27;0,7909;0,844;0,593
Andirá;0,4901;575,92;0,8075;0,838;0,66
Ângulo;0,3916;633,89;0,7511;0,827;0,644
Antonina;0,4174;555,16;0,6242;0,838;0,564
Antônio Olinto;0,3537;381,28;0,6664;0,825;0,547
Apucarana;0,5233;799,98;0,8638;0,845;0,668
Arapongas;0,5954;835,11;0,7435;0,834;0,669
Arapoti;0,5367;673,31;0,5983;0,823;0,643
Arapuã;0,3436;414,97;0,581;0,828;0,584
Araruna;0,4765;561,62;0,72;0,785;0,648
Araucária;0,8144;806,58;0,707;0,852;0,639
Ariranha do Ivaí;0,3324;420,31;0,5214;0,794;0,594
Assaí;0,4598;697,18;0,7641;0,833;0,641
Assis Chateaubriand;0,4531;658,82;0,6909;0,857;0,633
Astorga;0,4611;869,22;0,8083;0,818;0,675
Atalaia;0,4423;644,23;0,8853;0,854;0,66
Balsa Nova;0,5981;582,79;0,695;0,823;0,579
Bandeirantes;0,4916;669,79;0,6825;0,819;0,658
Barbosa Ferraz;0,3863;499,45;0,6807;0,808;0,625
Barra do Jacaré;0,3754;539,19;0,5373;0,813;0,747
Barracão;0,4059;679,71;0,7434;0,833;0,59
Bela Vista da Caroba;0,4776;507,48;0,6684;0,828;0,572
Bela Vista do Paraíso;0,4172;705,85;0,7607;0,844;0,604
Bituruna;0,4373;439,56;0,8039;0,829;0,556
Boa Esperança;0,4346;567,54;0,8176;0,808;0,673
Boa Esperança do Iguaçu;0,4353;508,96;0,6934;0,848;0,602
Boa Ventura de São Roque;0,4105;411,22;0,6115;0,802;0,553
Boa Vista da Aparecida;0,3461;504,24;0,7991;0,801;0,563
Bocaiúva do Sul;0,4225;535,61;0,3702;0,816;0,473
Bom Jesus do Sul;0,3561;423,11;0,8261;0,805;0,656
Bom Sucesso;0,3597;588,52;0,6986;0,82;0,57
Bom Sucesso do Sul;0,4571;612,98;0,6811;0,836;0,695
Borrazópolis;0,348;596,07;0,8062;0,838;0,633
Braganey;0,3543;577,26;0,7951;0,797;0,627
Brasilândia do Sul;0,4387;541,76;0,7665;0,813;0,572
Cafeara;0,3926;560,70;0,8588;0,811;0,602
Cafelândia;0,6281;710,93;0,8583;0,835;0,692
Cafezal do Sul;0,3516;560,00;0,8558;0,792;0,611
Califórnia;0,3748;688,83;0,9415;0,821;0,638
Cambará;0,4921;658,25;0,7368;0,818;0,645
Cambé;0,5175;706,19;0,8592;0,84;0,651
Cambira;0,4226;626,91;0,9283;0,835;0,651
Campina da Lagoa;0,3735;533,99;0,6971;0,829;0,623
Campina do Simão;0,4098;328,24;0,6825;0,792;0,527
Campina Grande do Sul;0,5366;654,77;0,6554;0,86;0,605
Campo Bonito;0,4043;577,25;0,6981;0,813;0,562
Campo do Tenente;0,4191;475,45;0,5748;0,806;0,606
Campo Largo;0,5519;732,46;0,6778;0,854;0,664
Campo Magro;0,5853;543,44;0,618;0,828;0,607
Campo Mourão;0,5802;833,05;0,7598;0,841;0,689
Cândido de Abreu;0,3611;438,10;0,5233;0,783;0,494
Candói;0,4777;462,51;0,7478;0,778;0,503
Cantagalo;0,3432;410,95;0,5553;0,768;0,522
