"","institution","country","y1","y2","y3","y4","y5","y6","y7","y8"
"201","Harvard University","USA",1,1,1,1,1,1,1,2
"202","Stanford University","USA",11,2,4,5,3,3,4,6
"203","Massachusetts Institute of Technology","USA",3,11,2,15,2,2,2,1
"204","University of Cambridge","United Kingdom",2,10,5,10,9,12,13,48
"205","University of Oxford","United Kingdom",7,12,10,11,12,11,12,16
"206","Columbia University","USA",13,8,9,14,13,9,13,4
"207","University of California, Berkeley","USA",4,22,6,7,4,3,7,28
"208","University of Chicago","USA",10,14,8,17,19,10,18,149
"209","Princeton University","USA",5,16,3,70,25,19,41,204
"210","Yale University","USA",9,25,11,18,7,32,19,45
"211","Cornell University","USA",12,18,19,23,15,23,23,12
"212","California Institute of Technology","USA",6,303,7,48,6,16,24,9
"213","University of Tokyo","Japan",17,3,33,12,16,28,26,14
"214","University of Pennsylvania","USA",21,4,26,8,17,13,10,28
"215","University of California, Los Angeles","USA",27,27,12,6,14,7,6,10
"216","Kyoto University","Japan",30,23,15,27,41,61,51,18
"217","New York University","USA",33,21,17,49,29,32,31,48
"218","Swiss Federal Institute of Technology in Zurich","Switzerland",16,105,13,42,28,45,86,84
"219","Johns Hopkins University","USA",24,75,18,4,10,6,3,3
"220","University of California, San Diego","USA",32,478,20,16,5,19,16,13
"221","University of Michigan, Ann Arbor","USA",29,19,131,3,20,5,10,19
"222","Hebrew University of Jerusalem","Israel",15,255,16,114,94,493,151,40
"223","Northwestern University","USA",151,13,105,28,32,25,27,61
"224","Seoul National University","South Korea",355,9,210,38,165,87,107,5
"225","University of Wisconsin–Madison","USA",31,28,34,21,24,23,28,28
"226","Duke University","USA",65,30,49,22,23,13,15,42
"227","University of California, San Francisco","USA",355,478,23,24,8,17,9,57
"228","University of Illinois at Urbana–Champaign","USA",34,80,21,36,45,38,68,64
"229","University of Texas at Austin","USA",92,39,24,51,54,26,74,45
"230","University College London","United Kingdom",20,406,52,13,22,18,21,121
"231","University of Toronto","Canada",71,45,35,2,18,13,8,149
"232","University of Washington - Seattle","USA",89,107,46,9,11,8,5,54
"233","Rutgers University-New Brunswick","USA",91,33,31,52,47,38,51,54
"234","Keio University","Japan",271,5,210,299,243,310,266,159
"235","École normale supérieure - Paris","France",8,478,59,362,156,493,311,737
"236","École Polytechnique","France",150,6,208,323,282,250,295,181
"237","Rockefeller University","USA",72,478,14,347,26,107,62,227
"238","Weizmann Institute of Science","Israel",18,478,22,233,63,250,137,51
"239","Imperial College London","United Kingdom",121,98,38,20,27,31,17,34
"240","Waseda University","Japan",355,7,210,391,384,283,380,204
"241","University of Virginia","USA",194,17,117,93,71,55,89,94
"242","McGill University","Canada",45,32,60,35,59,34,32,204
"243","Osaka University","Japan",69,36,48,43,55,114,56,34
"244","Dartmouth College","USA",46,15,210,246,164,125,132,74
"245","University of North Carolina at Chapel Hill","USA",179,86,61,32,37,22,22,38
"246","Pennsylvania State University, University Park","USA",226,42,65,33,36,26,33,100
"247","Ohio State University, Columbus","USA",93,65,81,30,52,30,37,38
"248","Lomonosov Moscow State University","Russia",14,210,50,264,247,310,361,737
"249","University of Minnesota, Twin Cities","USA",61,159,83,19,38,29,29,68
"250","University of Paris-Sud","France",26,410,25,69,89,114,102,338
"251","University of Southern California","USA",148,74,43,59,64,61,54,33
"252","Purdue University, West Lafayette","USA",81,52,54,72,87,73,121,20
"253","University of Pittsburgh - Pittsburgh Campus","USA",76,195,210,25,58,21,24,64
"254","Carnegie Mellon University","USA",25,219,27,207,234,52,144,170
"255","Peking University","China",355,35,210,65,155,250,155,7
"256","University of Edinburgh","United Kingdom",42,131,36,54,42,55,46,307
"257","University of California, Davis","USA",47,192,90,29,31,38,50,68
"258","Washington University in St. Louis","USA",96,145,112,39,21,34,19,181
"259","University of Florida","USA",212,299,95,34,70,52,63,8
"260","University of California, Santa Barbara","USA",124,252,28,105,53,48,56,68
"261","University of British Columbia","Canada",85,298,92,26,34,36,41,78
"262","University of Utah","USA",88,91,45,99,62,114,94,22
"263","University of Colorado Boulder","USA",75,56,41,97,35,75,77,128
"264","University of Notre Dame","USA",197,20,150,241,230,159,238,307
"265","National Taiwan University","Taiwan",113,24,210,46,216,283,215,637
"266","University of Texas Southwestern Medical Center","USA",50,478,29,127,30,81,34,181
"267","Boston University","USA",291,47,84,60,46,43,37,227
"268","Pierre-and-Marie-Curie University","France",36,431,86,31,39,99,66,100
"269","University of Manchester","United Kingdom",98,73,74,41,68,43,59,94
"270","University of Arizona","USA",99,62,87,67,33,37,46,307
"271","Vanderbilt University","USA",108,90,113,58,57,52,40,51
"272","Tohoku University","Japan",40,241,210,56,112,107,112,21
"273","Karolinska Institute","Sweden",126,478,37,55,61,38,36,737
"274","National University of Singapore","Singapore",355,99,210,37,136,114,102,23
"275","University of Geneva","Switzerland",48,151,30,121,75,99,79,194
"276","University of Maryland, College Park","USA",63,198,51,57,49,38,73,338
"277","University of Rochester","USA",60,50,116,112,104,69,70,76
"278","Emory University","USA",355,97,210,66,65,73,37,45
"279","University of Copenhagen","Denmark",111,143,63,44,44,61,34,481
"280","University of California, Irvine","USA",217,478,42,76,48,48,51,138
"281","Brown University","USA",56,46,67,123,66,55,97,170
"282","Ludwig Maximilian University of Munich","Germany",43,156,91,64,56,69,48,181
"283","Georgia Institute of Technology","USA",123,77,210,104,154,79,101,24
"284","Tufts University","USA",68,43,178,164,148,79,81,84
"285","University of Zurich","Switzerland",110,404,82,47,43,55,56,94
"286","Tel Aviv University","Israel",74,122,56,95,116,176,151,28
"287","Tsinghua University","China",294,63,210,79,192,134,162,16
"288","Utrecht University","Netherlands",102,181,101,40,51,55,49,338
"289","Ruprecht Karl University of Heidelberg","Germany",57,426,58,68,67,61,54,159
"290","King's College London","United Kingdom",28,173,114,84,132,87,77,181
"291","Sapienza University of Rome","Italy",66,178,32,78,162,250,145,373
"292","Kyushu University","Japan",355,41,210,135,170,283,207,27
"293","Swiss Federal Institute of Technology in Lausanne","Switzerland",355,130,80,126,121,48,124,41
"294","Katholieke Universiteit Leuven","Belgium",355,225,210,53,111,75,59,64
"295","University of Sydney","Australia",127,158,162,50,117,61,94,100
"296","Tokyo Institute of Technology","Japan",208,48,119,150,157,87,180,44
"297","University of Melbourne","Australia",136,101,210,45,74,87,81,194
"298","University of Bonn","Germany",23,275,70,156,125,187,145,227
"299","Technical University of Munich","Germany",38,138,173,106,92,187,97,100
"300","Royal Institute of Technology","Sweden",185,26,106,223,312,310,326,637
"301","Erasmus University Rotterdam","Netherlands",355,66,184,88,142,75,45,227
"302","Case Western Reserve University","USA",44,208,189,134,97,60,70,100
"303","University of Alberta","Canada",163,144,148,61,105,81,99,84
"304","University of Texas MD Anderson Cancer Center","USA",355,478,136,92,76,61,30,78
"305","Texas A&M University, College Station","USA",328,94,53,73,90,87,137,280
"306","Arizona State University","USA",355,478,72,141,79,69,145,34
"307","Yonsei University","South Korea",355,61,210,143,330,250,251,15
"308","Rice University","USA",54,313,94,252,144,45,121,61
"309","Technion – Israel Institute of Technology","Israel",41,221,39,180,226,187,207,100
"310","University of Helsinki","Finland",53,478,77,80,88,99,74,481
"311","University of Oslo","Norway",139,266,44,108,126,130,100,373
"312","Michigan State University","USA",112,214,210,85,115,45,106,128
"313","Indiana University - Bloomington","USA",211,38,175,166,769,176,195,204
"314","University of the Witwatersrand","South Africa",79,29,169,456,241,310,472,259
"315","University of Queensland","Australia",265,295,134,75,96,125,102,78
"316","Lund University","Sweden",132,478,165,81,133,48,70,737
"317","Leiden University","Netherlands",107,478,78,82,91,114,66,227
"318","Georgetown University","USA",146,37,210,295,323,310,211,159
"319","Aarhus University","Denmark",292,188,107,90,78,81,90,194
"320","University of Barcelona","Spain",355,207,210,63,107,81,88,259
"321","Baylor College of Medicine","USA",355,478,210,111,40,107,41,194
"322","University of Amsterdam","Netherlands",182,438,204,74,86,87,68,338
"323","University of Bristol","United Kingdom",177,242,76,87,69,99,110,338
"324","Uppsala University","Sweden",62,336,111,94,77,99,102,737
"325","University of Iowa","USA",223,184,163,103,81,87,110,115
"326","Stony Brook University","USA",170,478,68,161,73,69,118,100
"327","University of Groningen","Netherlands",293,265,190,71,103,107,79,338
"328","Korea Advanced Institute of Science and Technology (KAIST)","South Korea",355,85,210,186,262,363,306,11
"329","Radboud University Nijmegen","Netherlands",118,155,210,91,120,114,81,552
"330","Korea University","South Korea",355,58,210,182,428,220,293,34
"331","University of São Paulo","Brazil",302,70,210,62,182,114,162,737
"332","Nagoya University","Japan",67,356,69,119,141,134,192,68
"333","University of Colorado Denver","USA",355,478,131,140,118,150,61,78
"334","University of Montreal","Canada",309,460,210,77,110,87,64,426
"335","Albert Ludwig University of Freiburg","Germany",137,113,187,155,106,159,137,64
"336","Ghent University","Belgium",115,282,139,89,158,81,129,121
"337","University of Glasgow","United Kingdom",219,112,210,118,131,87,92,280
"338","University of Miami","USA",355,152,210,159,128,87,114,78
"339","Université libre de Bruxelles","Belgium",165,167,57,221,196,81,158,115
"340","Paris Diderot University - Paris 7","France",117,478,73,107,60,159,107,426
"341","McMaster University","Canada",210,271,159,128,159,87,81,159
"342","University of Birmingham","United Kingdom",58,119,198,116,160,150,135,204
"343","University of Texas at Dallas","USA",355,244,210,219,100,61,44,307
"344","VU University Amsterdam","Netherlands",355,398,210,83,123,87,86,737
"345","Wake Forest University","USA",242,59,210,251,236,150,126,128
"346","University of Southampton","United Kingdom",315,81,210,115,129,107,129,259
"347","University of Nottingham","United Kingdom",128,148,85,113,174,150,135,159
"348","Nanyang Technological University","Singapore",355,478,210,110,387,220,251,26
"349","University of New South Wales","Australia",172,114,210,100,194,99,164,138
"350","Osaka City University","Japan",19,320,210,460,520,283,437,373
"351","University of Leeds","United Kingdom",84,93,210,132,134,134,151,280
"352","Western University (The University of Western Ontario)","Canada",355,49,210,154,198,250,176,426
"353","Kobe University","Japan",22,362,96,349,259,283,318,307
"354","University of Basel","Switzerland",77,222,66,168,113,134,141,426
"355","University of Hong Kong","Hong Kong",272,116,210,98,195,176,118,481
"356","Indiana University-Purdue University Indianapolis","USA",355,424,210,195,351,134,121,57
